id,pred_label,pred_noise_type
0612368174df429eafcd,HATE,OBFUSCATION
89fb9c76db0a42298ba8,HATE,PUNCT_NOISE
42ee66dc2f204884bd7e,CLEAN,ORIGINAL
5a36364d99694343927d,CLEAN,CHAR_REPEAT
a76b9db3bc80485bb52d,HATE,PUNCT_NOISE
a8df4ec96bc04de4af02,CLEAN,NO_DIACRITICS
31ca0317cb4247bdb3ee,CLEAN,OBFUSCATION
0c400c3d0aaa4c858c1d,CLEAN,ORIGINAL
2ddc5f65703845f08cb2,CLEAN,CHAR_REPEAT
e4e79614c50c4ea9a4f6,CLEAN,NO_DIACRITICS
2bed8380fc2c45d2ab8d,CLEAN,PUNCT_NOISE
ae918550bb704a3aa00b,CLEAN,CHAR_REPEAT
444d3b9f17854876b593,CLEAN,NO_DIACRITICS
085e9e84d30048c691b2,CLEAN,NO_DIACRITICS
63a0556ad58a43c9b77a,CLEAN,ORIGINAL
e748614f0b774eb5bfa3,CLEAN,CHAR_REPEAT
cb557b52af6d4231a443,CLEAN,ORIGINAL
48702566455344d680d5,CLEAN,ORIGINAL
6b301390e0f04135a2b2,CLEAN,NO_DIACRITICS
41d50a5e573649208edf,HATE,NO_DIACRITICS
d4fe4c37b9814406b08d,CLEAN,ORIGINAL
1a8cd39464064be4b1a9,HATE,ORIGINAL
7ee8dab6c1fc4cb3b789,HATE,MIXED
e46a7ed037af45f98f77,CLEAN,OBFUSCATION
8c6ebe71064449298756,CLEAN,ORIGINAL
72e8e2076d574f05a77f,CLEAN,PUNCT_NOISE
ad494fba95d04f6f91d5,CLEAN,TEENCODE
dbeb1b2b1f3943cb96c3,CLEAN,PUNCT_NOISE
1ee0e68275174cf68e63,CLEAN,CHAR_REPEAT
fbf06a0a76e249b595c7,CLEAN,PUNCT_NOISE
a6284a3bb1f14f658fe4,OFFENSIVE,ORIGINAL
f102f2c2a1f840ea8523,CLEAN,CHAR_REPEAT
d3a9029f58c148c1930a,HATE,ORIGINAL
d3e6b33ff128490685fc,CLEAN,ORIGINAL
e85b0fc07559460eb667,CLEAN,NO_DIACRITICS
b56ff57a1b9a47f6b96f,CLEAN,OBFUSCATION
53cd38caf15749138c4d,CLEAN,MIXED
4e4b0bc1bc1d4752925b,CLEAN,PUNCT_NOISE
248eced181144d6eae71,OFFENSIVE,TEENCODE
6502cb76ec344a6f8936,CLEAN,OBFUSCATION
f4f9069a13bf402ea859,CLEAN,ORIGINAL
a3e19c050f5b424c9864,CLEAN,CHAR_REPEAT
d4b738850cc24ef6a6a2,CLEAN,ORIGINAL
0b657709b0b847e58b47,CLEAN,ORIGINAL
e144b387ddf3419398b5,CLEAN,OBFUSCATION
b66bf5688815404ebe9c,CLEAN,OBFUSCATION
32601263982a48308980,CLEAN,CHAR_REPEAT
4eee76e93d8944e39a2f,CLEAN,MIXED
468b32c92c6c48358632,CLEAN,NO_DIACRITICS
909e685a405a4b4db376,CLEAN,TEENCODE
8b90dfffd30e44dcad35,CLEAN,NO_DIACRITICS
f4f22d5276a9437591d5,HATE,ORIGINAL
941be4773073471db511,CLEAN,MIXED
f1a078f5c9954714830e,CLEAN,NO_DIACRITICS
7cd318ad28774231a9c6,CLEAN,ORIGINAL
3f3b5e2a7f514636a8f2,CLEAN,PUNCT_NOISE
c133c34761f14910886b,CLEAN,PUNCT_NOISE
ae66461f39d0493aa7b3,CLEAN,ORIGINAL
b091792108db48f68190,HATE,ORIGINAL
45f445ab99404ea2ac36,CLEAN,ORIGINAL
78619ba180eb42b4939c,CLEAN,NO_DIACRITICS
c3c5696b80ba4253b893,HATE,OBFUSCATION
1675db60a37d49fd971f,CLEAN,ORIGINAL
325fe07f7a3c4138b136,CLEAN,ORIGINAL
e460510b67ee44f1b807,CLEAN,MIXED
cc35a5649a5e4b859a7a,CLEAN,MIXED
bd8bd5f588044549be95,CLEAN,PUNCT_NOISE
5b8479556b9845229f84,CLEAN,PUNCT_NOISE
151103d8efda44e0b4b5,OFFENSIVE,NO_DIACRITICS
f9edb204ad63486c891e,CLEAN,ORIGINAL
7c2943cfffab43d79b23,CLEAN,ORIGINAL
5895b73578504ae794f3,CLEAN,CHAR_REPEAT
964cd7e68e814581b4ca,CLEAN,MIXED
d447ed78eb0b4744874f,CLEAN,OBFUSCATION
7b9126450d4a471597e6,CLEAN,CHAR_REPEAT
3a3e4736d365483e8351,CLEAN,NO_DIACRITICS
9548b146da4a4d599f57,CLEAN,ORIGINAL
3f6ea9a9a0334a138a44,CLEAN,OBFUSCATION
fecb2c14a14f4ddf9095,CLEAN,ORIGINAL
15a3cf5745bf4c129f81,CLEAN,NO_DIACRITICS
1f77a94c67c44afc9d52,CLEAN,MIXED
d644fc852e6847469328,CLEAN,CHAR_REPEAT
8103916b8b2e4170a501,CLEAN,CHAR_REPEAT
d9e6c1089b624912af87,CLEAN,OBFUSCATION
8f3735b4de014b18976a,CLEAN,NO_DIACRITICS
38b45fd8e8d44e59a01a,CLEAN,PUNCT_NOISE
b14cd719202943e39f99,CLEAN,ORIGINAL
d01e7d7534ff470894da,CLEAN,CHAR_REPEAT
44535bce451f4ad29e11,CLEAN,ORIGINAL
a94c12c4d302488f9fe9,CLEAN,ORIGINAL
ec3c1b91b93a4b349a15,CLEAN,PUNCT_NOISE
daadfca0cd0b4cc49fc2,CLEAN,OBFUSCATION
cca6e1a2bef24a3da8db,CLEAN,CHAR_REPEAT
675588f7e64c488cbd78,HATE,OBFUSCATION
5429215e643843b7995a,CLEAN,ORIGINAL
ce0213d21b77408b881c,CLEAN,ORIGINAL
7fbac43215264f17b061,CLEAN,MIXED
ede9c69208414514aca1,CLEAN,ORIGINAL
d950d106a3ca4b4b8870,CLEAN,NO_DIACRITICS
85209bf08b9341a1b595,CLEAN,ORIGINAL
baacc1666cd44c0e8083,HATE,MIXED
6c16266087694aa8b298,CLEAN,OBFUSCATION
35c410af572247638de7,CLEAN,ORIGINAL
8087c6f078864e268c10,CLEAN,ORIGINAL
c6cc902956b545bfafcf,CLEAN,CHAR_REPEAT
5cef0101dd8b4414bb5f,CLEAN,NO_DIACRITICS
51a6e47ac58d4439814a,CLEAN,OBFUSCATION
731ff4ffb859455aa7fb,CLEAN,TEENCODE
c881dc4c8c2f4aad8155,CLEAN,PUNCT_NOISE
d7e53ab0ff36434eb565,CLEAN,ORIGINAL
9c41572985824effa66b,CLEAN,ORIGINAL
e06777a26cce4b0183a6,HATE,TEENCODE
578cd29925154819a2a7,CLEAN,ORIGINAL
ccabee0f563248558b77,OFFENSIVE,ORIGINAL
6555277ea9094d3e894b,CLEAN,PUNCT_NOISE
8ded9d01ede2418ea68c,CLEAN,NO_DIACRITICS
e62a9361ee82418d955d,CLEAN,CHAR_REPEAT
89ce07e6a4de497cb3f6,HATE,OBFUSCATION
a76c7b4c446d4431b78e,CLEAN,MIXED
2fd0b812660347cea9b9,CLEAN,OBFUSCATION
cc38520154594f598793,OFFENSIVE,ORIGINAL
df1a51c25c0f4c76b75f,CLEAN,MIXED
4b1cf16cab0c448f9007,CLEAN,TEENCODE
b7fec18dc2194bac9dec,HATE,NO_DIACRITICS
c2875a3afdd44cc3b28d,CLEAN,ORIGINAL
79cdb3efdfb0476c80fb,CLEAN,ORIGINAL
6b002db62f274785a959,OFFENSIVE,CHAR_REPEAT
7c4384aed8f24e20889e,CLEAN,CHAR_REPEAT
f1c64adf82dd498d80fd,CLEAN,ORIGINAL
60e6b622052141918c67,OFFENSIVE,ORIGINAL
3291b7593fdf48f7b586,CLEAN,ORIGINAL
cbac25278b484e599b32,HATE,CHAR_REPEAT
b7f59a5131bb44d5bdd0,CLEAN,NO_DIACRITICS
8196718e5f6a4683be9e,CLEAN,OBFUSCATION
f01262ca3a284dde9a62,CLEAN,MIXED
2a6260c3139c4ff68d6b,HATE,CHAR_REPEAT
306f85fd8416429e8698,CLEAN,OBFUSCATION
b6ce1031ee324922ba13,CLEAN,MIXED
b473516e778b4eed8d08,CLEAN,NO_DIACRITICS
f9283a6d121d456381ba,CLEAN,OBFUSCATION
e65c5d51bde040f584fe,CLEAN,MIXED
6b9e77814d6340ce8434,CLEAN,ORIGINAL
f155f9ccf3a44064a687,CLEAN,CHAR_REPEAT
5a23bac24ef5447ca71b,CLEAN,ORIGINAL
a021339660374bfc8148,HATE,PUNCT_NOISE
fdb09cf26587400d8c0e,CLEAN,MIXED
44d65c3d64414922ba7a,CLEAN,ORIGINAL
dd86e17a095749f0aae6,CLEAN,ORIGINAL
9dd93faa443c415f90ca,CLEAN,ORIGINAL
fb94198a0bb245b0b5de,CLEAN,CHAR_REPEAT
735816d0c0034ea9bc92,CLEAN,ORIGINAL
602623839533496a8671,CLEAN,CHAR_REPEAT
8e443b4564c144f58334,OFFENSIVE,CHAR_REPEAT
bf978e723d634d6ea9b1,HATE,CHAR_REPEAT
5f286c8d6baa4683aa10,CLEAN,ORIGINAL
96bdfe669be24b86aa48,OFFENSIVE,ORIGINAL
1e13d0911e3b41f18131,CLEAN,ORIGINAL
a12cbadcfdd0406c87f3,CLEAN,CHAR_REPEAT
6baad458c4c949f7a939,CLEAN,ORIGINAL
e9dda922c261444db76f,CLEAN,CHAR_REPEAT
cb871844b74249fba549,CLEAN,ORIGINAL
d8e82b72ade840fe9ddf,CLEAN,ORIGINAL
aa65043930de45378789,CLEAN,ORIGINAL
18e05c4bd7cc4ed69941,CLEAN,CHAR_REPEAT
364550d993104b80aaf5,CLEAN,ORIGINAL
76d83a31b6c249999b16,CLEAN,MIXED
a3d9159fae974f928caa,CLEAN,CHAR_REPEAT
131ef757ef3344d78af9,HATE,PUNCT_NOISE
51c4af5eda4345e0bd8a,CLEAN,NO_DIACRITICS
01cf2ad2db0d447fa139,CLEAN,MIXED
04e978adebf8459ea0d1,CLEAN,CHAR_REPEAT
1bf336e14cf642e09779,CLEAN,PUNCT_NOISE
85341b09c38641808725,CLEAN,OBFUSCATION
81f6277b1e9542139733,CLEAN,MIXED
36339ca0148748e7b3e9,CLEAN,MIXED
6a0060d33ec448c1afa1,HATE,CHAR_REPEAT
188a94a09e9540908dbd,CLEAN,MIXED
4b61c9b654b843e686d3,CLEAN,ORIGINAL
9fc78a0798924d709a4a,CLEAN,PUNCT_NOISE
c20c240f172345f182c0,CLEAN,PUNCT_NOISE
9a4feb6a9afb49f899cb,CLEAN,NO_DIACRITICS
097193f31fa44c359b87,CLEAN,PUNCT_NOISE
8132aaee5fc24699a09d,CLEAN,CHAR_REPEAT
38ab7c64c8ef401c992e,CLEAN,CHAR_REPEAT
6ef4e08c73584ca2b100,HATE,ORIGINAL
35a772dedeab450a85f7,CLEAN,MIXED
